keep_frac,n,quality_mse,random_mse,random_sd,gain
0.1,313,0.020588999580697733,0.020767425396800765,0.00014582317210563785,0.008591619456618748
0.2,626,0.020465675869053474,0.020522672672292585,0.00018022669091831978,0.0027772602598715845
0.3,939,0.02039150764259433,0.020453915032634058,6.91450219377064e-05,0.003051121994990013
0.4,1252,0.020398522892956863,0.020454979456839925,6.392472182642363e-05,0.0027600401165000033
0.5,1565,0.02041641881479205,0.020379622997884476,5.3296376690559766e-05,-0.0018055199996286314
0.6,1878,0.020468122364809584,0.020350209332859574,4.5095158782546106e-05,-0.005794192581577756
0.7,2191,0.020503799675877312,0.020429817843774185,3.252638454437626e-05,-0.003621267339183451
0.8,2504,0.020487079451764003,0.020410403602180292,1.6056971552921566e-05,-0.003756704231734054
0.9,2817,0.020441904990419767,0.020400434987356643,1.8669485944283467e-05,-0.002032799942198579
1.0,3131,0.020406239353693387,0.020406239353693373,2.342840229615247e-17,-6.800757144555732e-16
