episode_hash,operator,decision,score,reason,flags,trim_start,trim_end,n_frames,act_span,progress_dip,cluster,outlier_p,ax_poor_image,ax_jittery,ax_unsteady_camera,ax_hesitant,ax_incomplete
692e9b2daf371a654ce7fc94,6903bd580e94ce070afd33cd,keep,-0.4269,,hesitant+incomplete,43,150,182,0.5912,0.1341,3,0.9640,-0.4286,-0.2240,0.0527,1.1791,1.5938
692ea7e22fa9ba56c08f816e,69038b590e94ce070afd2952,keep,-0.4274,,incomplete,75,158,181,0.4611,,,,0.2644,0.2366,0.5236,0.3462,1.3709
692ea487c609aae267b278eb,68bc72d1fcdaacc405e3db53,keep,-0.4282,,poor_image,35,173,176,0.7886,,,,2.2745,-0.2573,0.1084,-0.3737,0.2367
692ee6275cec8e06f0b2da84,6903a36c466be157ec64562d,keep,-0.4283,,,0,235,237,0.9958,,,,0.7596,0.8500,0.6777,-0.3171,0.2226
692ea4d974b24813e7597554,690cb8f69adc5c8f26f64201,keep,-0.4284,,unsteady_camera,2,214,218,0.9770,,,,-0.1151,0.7035,1.1823,0.5747,0.3593
692eac7474b24813e7597620,68bc72d1fcdaacc405e3db53,keep,-0.4285,,unsteady_camera,17,186,190,0.8942,,,,0.5088,0.1607,1.8709,0.1617,-0.0372
692ea6fb4e86f0c01a20722d,6903bd580e94ce070afd33cd,keep,-0.4285,,poor_image,35,213,215,0.8318,,,,1.4131,0.3242,0.3243,0.1904,-0.1210
692eaf2d4e86f0c01a2072ed,69070e0b9adc5c8f26f55b5a,keep,-0.4285,,jittery,0,191,193,0.9948,,,,-0.2486,1.8518,-0.0432,0.3705,0.2677
692ea1eeb0d3d3c9d260698b,6903686e0e94ce070afd1f24,keep,-0.4286,,poor_image,22,108,112,0.7748,,,,1.6264,-0.1578,0.4315,0.0000,0.3658
692ef056245e9187290070dc,6846f7cf9cdf020d4a37a294,keep,-0.4288,,hesitant,43,222,224,0.8027,,,,-0.0251,0.4665,-0.2073,2.2918,0.2552
692ea69daec602a46af105a2,6903686e0e94ce070afd1f24,keep,-0.4289,,,8,106,108,0.9159,,,,0.5863,0.4683,-0.1147,0.7223,0.8124
692eae53c621d7f4aac3abc9,6846f7cf9cdf020d4a37a294,keep,-0.4289,,poor_image,0,164,177,0.9318,,,,1.9274,-0.8711,0.1277,0.9968,0.2935
692ea80f92a31767e35da347,6903686e0e94ce070afd1f24,keep,-0.4289,,,45,120,122,0.6198,,,,0.4092,0.7394,-0.2500,0.6388,0.8910
692e9a9bc621d7f4aac3a9ac,6904b8d0466be157ec648ef1,keep,-0.4290,,hesitant+incomplete,0,105,164,0.6442,,,,0.1064,-0.3528,-0.2461,2.0000,1.6188
692eab68567c97525f401553,690362600e94ce070afd1d30,keep,-0.4291,,,73,310,316,0.7524,,,,0.6920,0.2867,0.8332,-0.1269,0.8295
692e9fa292a31767e35da231,69150bf42756853dcad943f2,keep,-0.4292,,poor_image,0,165,170,0.9763,,,,1.2253,0.8305,-0.0222,0.1917,-0.2488
692e9f8d39719ab57395b834,6871e269bc1991b1a1e463ba,keep,-0.4299,,unsteady_camera,0,174,176,0.9943,,,,-0.1214,0.5430,1.0923,0.3498,0.9346
692eaaad2c8fefa9948e8e94,68bc72d1fcdaacc405e3db53,keep,-0.4305,,poor_image,0,221,227,0.9779,0.6024,4,0.9978,1.5470,0.5043,-0.5515,0.4843,0.0038
692eace7ad0c9ef057d41dce,6903686e0e94ce070afd1f24,keep,-0.4306,,poor_image,40,104,106,0.6095,,,,1.2967,0.0630,-0.0167,0.0000,0.9910
692ea8ebba0400c70689ff23,6903686e0e94ce070afd1f24,keep,-0.4306,,poor_image,0,111,113,0.9911,,,,1.1945,0.4556,0.9257,0.0000,-0.3865
692ed684952b26f4cc71a443,690366b20e94ce070afd1e8a,keep,-0.4308,,jittery+unsteady_camera,0,171,195,0.8814,,,,-0.4377,1.2474,1.9344,-0.2938,0.1603
692eaa60d3d807884d4dd7b5,6903686e0e94ce070afd1f24,keep,-0.4309,,hesitant,27,90,92,0.6923,,,,0.5954,-0.0328,0.2135,1.0199,0.9386
692ea7e32fa9ba56c08f8178,69038b590e94ce070afd2952,keep,-0.4313,,hesitant,24,213,217,0.8750,,,,0.4450,-0.0208,0.6882,1.4965,0.1979
692eac2aaec602a46af1064e,6903686e0e94ce070afd1f24,keep,-0.4314,,jittery,10,111,114,0.8938,,,,0.6422,1.0734,0.1229,0.0000,0.3235
692eab63424dbf22e75ed0f9,68696b41314bde44018fa510,keep,-0.4317,,unsteady_camera,0,184,190,0.9735,,,,-0.6178,0.0826,3.4591,0.0000,0.3654
692ea76a4e86f0c01a20724f,6871d82a1aaf88556f0c6041,keep,-0.4319,,jittery+hesitant,0,145,148,0.9864,,,,-0.5992,1.0539,-0.0232,1.7259,0.6384
